2960992,Waterford,Waterford,"Port Lairge,Port Làirge,Port Láirge,Purt Largey,Uoterford,Uoturford,Voterford,Voterfordas,WAT,Waterford,Waterford city,u~otafodo,watrfwrd,wo te fu de,woteopeodeu,Вотерфорд,Уотерфорд,Уотърфорд,واترفورد,واٹرفرڈ,უოტერფორდი,ウォーターフォード,沃特福德,워터퍼드",52.25833,-7.11194,P,PPLA2,IE,"",M,44,"","",47904,"",10,Europe/Dublin,2017-07-25
2960993,Waterfall,Waterfall,"",51.85944,-8.55917,P,PPL,IE,"",M,04,"","",0,"",87,Europe/Dublin,2010-08-14
2960994,Waterdale House,Waterdale House,"Eochaill,Waterdale,Waterdale House",53.36667,-8.95,S,BLDG,IE,"",C,10,"","",0,"",9,Europe/Dublin,2014-03-07
2960995,Watch House Village,Watch House Village,"Watch House,Watch House Village",52.69083,-6.63972,P,PPL,IE,IE,L,30,"","",0,"",59,Europe/Dublin,2012-01-18
2960996,Warrenstown,Warrenstown,"Warrenstown,Warrenstown House",53.52305,-6.61181,S,EST,IE,"",L,21,"","",0,"",84,Europe/Dublin,2014-12-03
2960997,Warrens Grove,Warrens Grove,"",51.85,-8.83333,S,EST,IE,"",M,04,"","",0,"",63,Europe/Dublin,2010-08-14
2960998,Warrens Court,Warrens Court,"",51.85472,-8.91278,S,EST,IE,"",M,04,"","",0,"",83,Europe/Dublin,2010-08-14
2960999,War Hill,War Hill,War Hill,53.13778,-6.25389,T,MT,IE,"",L,31,"","",0,685,646,Europe/Dublin,2013-04-04
2961000,Hill of Ward,Hill of Ward,"Hill of Ward,Tlachta",53.62444,-6.88611,T,HLL,IE,"",L,21,"","",0,"",100,Europe/Dublin,2014-12-03
2961001,Ward,Ward,"",53.43306,-6.33333,P,PPL,IE,"",L,35,"","",0,"",77,Europe/Dublin,2017-07-25
2961002,Walterstown,Walterstown,"",53.61278,-6.55306,P,PPL,IE,"",L,21,"","",0,"",69,Europe/Dublin,2010-08-14
2961003,Walshtown,Walshtown,"",51.98306,-8.18722,P,PPL,IE,"",M,04,"","",0,"",147,Europe/Dublin,2010-08-14
2961004,Walshpool Lough,Walshpool Lough,"Walshpool Lough,Washpool Lough",53.80021,-9.18681,H,LK,IE,"",C,20,"","",0,"",28,Europe/Dublin,2015-03-08
2961005,Virginia Road,Virginia Road,"Virginia Road,Virginia Road Station",53.76336,-7.01652,S,RSTN,IE,"",L,21,"","",0,"",88,Europe/Dublin,2014-12-03
2961006,Virginia,Virginia,"Achadh an Iuir,Achadh an Iúir,Verdzhinija,Virginia,Vurdzhinija,Верджиния,Върджиния",53.83389,-7.07556,P,PPL,IE,"",U,02,"","",2282,"",92,Europe/Dublin,2013-11-26
2961007,Violetstown House,Violetstown House,"",53.48333,-7.28333,S,EST,IE,"",L,29,"","",0,"",110,Europe/Dublin,1993-12-27
2961008,Violet Hill,Violet Hill,"",52.74444,-7.56083,S,EST,IE,"",L,13,"","",0,"",133,Europe/Dublin,2010-08-14
2961009,Vinegar Hill,Vinegar Hill,Vinegar Hill,52.50236,-6.54757,T,HLL,IE,"",L,30,"","",0,"",61,Europe/Dublin,2017-12-02
2961010,Villierstown,Villierstown,"An Baile Nua,Villierstown",52.08889,-7.85306,P,PPL,IE,"",M,44,"","",279,"",24,Europe/Dublin,2017-07-25
2961011,Vicarstown Cross Roads,Vicarstown Cross Roads,"Vicarstown,Vicarstown Cross Roads",51.93333,-8.65,P,PPL,IE,IE,M,04,"","",0,"",105,Europe/Dublin,2012-01-18
2961012,Vicarstown,Vicarstown,"",53.04917,-7.08861,P,PPL,IE,"",L,15,"","",0,"",65,Europe/Dublin,2010-08-14
2961013,Ventry Harbour,Ventry Harbour,"",52.12278,-10.35583,H,HBR,IE,"",M,11,"","",0,"",-9999,Europe/Dublin,2010-08-14
2961014,Ventry,Ventry,"Ceann Tra,Ceann Trá,Fionntra,Fionntrá,Ventry",52.1325,-10.36694,P,PPL,IE,"",M,11,"","",0,"",2,Europe/Dublin,2014-03-07
2961015,Velvetstown House,Velvetstown House,"",52.25,-8.66667,S,EST,IE,"",M,04,"","",0,"",93,Europe/Dublin,1993-12-27
2961016,Lough Vearty,Lough Vearty,"Lough Nearty,Lough Vearty",54.54037,-8.01053,H,LK,IE,"IE,GB",00,"","","",0,"",102,Europe/London,2015-08-07
2961017,Lough Beagh,Lough Beagh,"Lough Beagh,Lough Veagh",55.03833,-7.97167,H,LK,IE,IE,U,06,"","",0,"",39,Europe/Dublin,2012-01-18
2961018,Vartry River,Vartry River,"",53.00278,-6.05528,H,STM,IE,"",L,31,"","",0,"",3,Europe/Dublin,2010-08-14
2961019,Valencia River,Valencia River,"Valencia River,Valentia River",51.93222,-10.27806,H,STM,IE,IE,M,11,"","",0,"",-9999,Europe/Dublin,2012-01-18
2961020,Valentia Island,Valentia Island,"Dairbhre,Valentia Island",51.90833,-10.37194,T,ISL,IE,"",M,11,"","",665,"",50,Europe/Dublin,2016-06-04
2961021,Valentia Harbour Station,Valentia Harbour Station,"Valentia Harbour,Valentia Harbour Station",51.91667,-10.28333,S,RSTN,IE,"",M,11,"","",0,"",-9999,Europe/Dublin,2016-06-04
2961022,Valentia Harbour,Valentia Harbour,Valentia Harbour,51.93,-10.30306,H,HBR,IE,"",M,11,"","",0,"",35,Europe/Dublin,2016-06-04
2961023,Urris Hills,Urris Hills,"",55.22389,-7.51889,T,MTS,IE,"",U,06,"","",0,417,319,Europe/Dublin,2014-12-18
